status,usep_id,language,other_languages,tm_id,date_label,not_before,not_after,date_evidence,origin_label,origin_ref,summary,object_class,material_class,condition_class,edition_text,translation,source_file
transcribed,CA.Malibu.JPGM.E.81.AN.76.141,ett,,Unknown TM,400-350 BC,-0400,-0350,unspecified,Etruria,europe.italy,Etruscan inscription on scarab,#instrumentum.other,#stone.other,#complete.intact,Quintus Valerius,Quintus Valerius?,transcribed/CA.Malibu.JPGM.E.81.AN.76.141.xml
transcribed,MA.Bos.MFA.E.13.2860A,ett,,Unknown TM,third century BCE,-0300,-0201,#archaeology,Chiusi,https://pleiades.stoa.org/places/413096,cinerary urn lid,#ash_urn,#stone.other,#complete.intact,𐌚𐌀𐌔𐌕𐌉𐌀 𐌅𐌄𐌋𐌔𐌉 𐌋𐌀𐌓𐌆𐌋 𐌅𐌄𐌋𐌖𐌑 𐌓𐌖𐌠𐌀,"Fastia Velsi, wife of Larza Velu.",transcribed/MA.Bos.MFA.E.13.2860A.xml
transcribed,MD.Balt.WAG.E.54.162,ett,,Unknown TM,fourth-third century BCE,-0400,-0199,#archaeology,Italy,europe.italy,inscription indicating sepulchral use,#instrumentum.other,#metal.bronze,#complete.broken,Anioum.,Sepulchral.,transcribed/MD.Balt.WAG.E.54.162.xml
transcribed,MD.Balt.WAG.E.57.371,ett,,Unknown TM,fifth century BCE,-0500,-0399,unspecified,"Italy, Comacchio?",https://pleiades.stoa.org/places/393402,label naming Daedalus and Icarus,#instrumentum.container.other #instrumentum.other,#metal.gold,#complete.intact,Vikare Taitle,Icarus (and) Daedalus.,transcribed/MD.Balt.WAG.E.57.371.xml
transcribed,NY.NY.MMA.E.03.24.3,ett,,Unknown TM,early 3rd c. BCE,-0299,-0250,#archaeology,"Italy, Bolsena",https://pleiades.stoa.org/places/413389,mirror labeled with names of divinities and Suthina,#instrumentum.other,#metal.bronze,#complete.intact,Esplace Prumathe Menrva Hercle || Suthina,,transcribed/NY.NY.MMA.E.03.24.3.xml
transcribed,NY.NY.MMA.E.09.221.16,ett,,Unknown TM,4th-early 3rd c. BCE,-0400,-0250,#archaeology,"Italy, Etruria, Orvieto/Bolsena",europe.italy.etruria.orvieto.bolsena,"mirror labeled: Peleus, Thetis, and Galene",#instrumentum.other,#metal.bronze,#complete.broken,Pele Thethis Calaina,Peleus Thetis Galene,transcribed/NY.NY.MMA.E.09.221.16.xml
transcribed,NY.NY.MMA.E.09.221.17,ett,,Unknown TM,late 4th c. BCE,-0351,-0300,#archaeology,"Italy, Etruria",https://pleiades.stoa.org/places/413122,"mirror labeled: Odysseus, Circe, and Elpenor",#instrumentum.other,#metal.bronze,#complete.intact,Uthste Cerca Velparun,Odysseus Circe Elpenor,transcribed/NY.NY.MMA.E.09.221.17.xml
transcribed,NY.NY.MMA.E.22.139.61,ett,,Unknown TM,350-300 BC,-0350,-0300,#archaeology,"Italy, Etruria",europe.italy.etruria,"mirror labeled with the names of Zipunu, Prucnas, and Thalna",#instrumentum.other,#metal.bronze,#complete.intact,Zipunu Prucnas Thalna,,transcribed/NY.NY.MMA.E.22.139.61.xml
transcribed,NY.NY.MMA.E.48.11.1,ett,,Unknown TM,480-450 BCE,-0480,-0450,#archaeology,Populonia,europe.italy,gemstone labeled: Capne (Capaneus),#instrumentum.other,#material_other,#complete.intact,Capne,Capaneus.,transcribed/NY.NY.MMA.E.48.11.1.xml
transcribed,NY.NY.MMA.E.96.18.15,ett,,Unknown TM,early 4th c. BCE,-0400,-0350,#archaeology,"Italy, Civita Castellana",https://pleiades.stoa.org/places/413126,mirror labeled: Admetus and Alcestis,#instrumentum.other,#metal.bronze,#complete.intact,Admite Alcestei,Admetus Alcestis,transcribed/NY.NY.MMA.E.96.18.15.xml
transcribed,NY.NY.MMA.E.96.9.371,ett,,Unknown TM,3rd c. BCE,-0300,-0200,#archaeology,"Italy, Etruria",europe.italy.etruria,mirror labeled: Cracna,#instrumentum.other,#metal.bronze,#complete.intact,Cragna,Cracna,transcribed/NY.NY.MMA.E.96.9.371.xml
transcribed,NY.NY.MMA.E.97.22.16,ett,,Unknown TM,early fourth century BC,-0399,-0350,unspecified,Perugia,europe.italy.perugia,"mirror labeled with the names of Aphrodite, Helen and Paris",#instrumentum.other,#metal.bronze,#complete.intact,Alcsentre Turan Elinai,,transcribed/NY.NY.MMA.E.97.22.16.xml
transcribed,NY.NY.MMA.E.97.22.17,ett,,Unknown TM,end of fourth c. BCE,-0350,-0300,unspecified,"Italy, Chiusi",https://pleiades.stoa.org/places/413096,"mirror labeled with the names of Minerva, satyr and nymph",#instrumentum.other,#metal.bronze,#complete.intact,Menrva Thalna Sime,,transcribed/NY.NY.MMA.E.97.22.17.xml
transcribed,NY.NY.NYU.E.X.338,ett,,Unknown TM,sixth century BCE,-0600,-0501,#unspecified,"Italy, Cerveteri?",https://pleiades.stoa.org/places/422859,speaking inscription describing ownership,#instrumentum.vase,#clay.terracotta #clay.other,#complete.intact,mi Larthaia Telicles lechtumuza.,"I am the little lekythos of Lartha, (the daughter) of Telikles.",transcribed/NY.NY.NYU.E.X.338.xml
transcribed,OH.Tol.TMA.E.1978.22,ett,,,late fifth to late fourth century BCE,-0425,-0325,#unspecified,"Italy, Cerveteri?",https://pleiades.stoa.org/places/422859,speaking inscription identifying Hercle,#object_other,#metal.bronze,#complete.broken,Hercales mi.,I am Hercle.,transcribed/OH.Tol.TMA.E.1978.22.xml
transcribed,OH.Tol.TMA.E.1983.46,ett,,,fourth to third century BCE,-0400,-0200,#archaeology,Etruria,europe.italy,dedication by Laris Rathmsnas,#object_other,#stone.other,#complete.broken,Laris | Rathmsnas | turce.,Laris Rathmsnas dedicated (this).,transcribed/OH.Tol.TMA.E.1983.46.xml
transcribed,PA.Phil.UP.UM.E.57-3-1A,ett,,,second century BCE,-0201,-0099,#archaeology,"Italy, Chiusi",https://pleiades.stoa.org/places/413096,relief-decorated urn with dipinto Etruscan inscription,#ash_urn,#clay.terracotta,#complete.intact,Thania: Anainei: Apiasa:,Thania Anainei wife of Apias.,transcribed/PA.Phil.UP.UM.E.57-3-1A.xml
transcribed,PA.Phil.UP.UM.E.MS1124,ett,,,second to first century BCE,-0199,0001,#archaeology,"Italy, Tarquinia",https://pleiades.stoa.org/places/413332,ash urn for Petrui with Etruscan inscription,#ash_urn,#clay.terracotta,#complete.broken,Petrui Telmus,Petrui [wife] of Telmu,transcribed/PA.Phil.UP.UM.E.MS1124.xml
transcribed,PA.Phil.UP.UM.E.MS1628,ett,,,early sixth century BCE,-0601,-0549,#palaeography,"Italy, Orvieto",https://pleiades.stoa.org/places/413373,sherd with Etruscan inscriptions,#instrumentum.vase,#clay.terracotta,#fragment.single,qsu Thanaqvilus Sucisnaia,asu; Thanakvil Sucisnai's,transcribed/PA.Phil.UP.UM.E.MS1628.xml
transcribed,PA.Phil.UP.UM.E.MS2159A,ett,,,second century BCE,-0199,-0099,#archaeology,"Italy, Chiusi, Montepulciano",https://pleiades.stoa.org/places/413096,cinerary urn (chest only) with Etruscan inscription,#ash_urn,#clay.other,#complete.intact,Au Latine Villinal,"Aule Latine, son of Villina",transcribed/PA.Phil.UP.UM.E.MS2159A.xml
transcribed,PA.Phil.UP.UM.E.MS2159B,ett,,,second century BCE,-0201,-0099,#archaeology,"Italy, Montepulciano, Cervognano",europe.italy.montepulciano,cinerary urn (lid only) with Etruscan inscription,#ash_urn,#clay.other,#complete.broken,Lar: Cnaeve,Lars Gnaeus.,transcribed/PA.Phil.UP.UM.E.MS2159B.xml
transcribed,PA.Phil.UP.UM.E.MS2458A,ett,,,late third century BCE,-0251,-0199,#archaeology,"Italy, Chiusi, Colle",https://pleiades.stoa.org/places/413096,cinerary urn for Arnth Remza with Etruscan inscription,#ash_urn,#stone.marble,#complete.broken,Arnth : Remzna : Arnthal : zilat : scupitnues,"Arnth Remzna, son of Arnth, zilath of the scupitnues.",transcribed/PA.Phil.UP.UM.E.MS2458A.xml
transcribed,PA.Phil.UP.UM.E.MS3200,ett,,Unknown TM,550 BCE,-0551,-0549,#archaeology,"Italy, Orvieto",https://pleiades.stoa.org/places/413373,stone lintel with Etruscan inscription,#object_other,#stone.other,#complete.broken,mi Velthurus Hulchenas Kavies,I am [the tomb] of Velthur Hulchenas Kavies.,transcribed/PA.Phil.UP.UM.E.MS3200.xml
transcribed,PA.Phil.UP.UM.E.MS3428,ett,,,second to first century BCE,-0201,0001,#archaeology,"Italy, Tarquinia",https://pleiades.stoa.org/places/668331,urn of Telmu with Etruscan inscription,#ash_urn,#clay.other,#complete.intact,V : Caes : V : Telmu,"Vel Caes Telmu, freedman of Vel.",transcribed/PA.Phil.UP.UM.E.MS3428.xml
transcribed,PA.Phil.UP.UM.L-64-73A,ett,,,second century BCE,-0201,-0099,#archaeology,"Italy, Etruria",https://pleiades.stoa.org/places/413122,cinerary urn with Etruscan inscription,#ash_urn,#clay.other,#complete.broken,[gap:unknown character] thanai,,transcribed/PA.Phil.UP.UM.L-64-73A.xml
transcribed,TX.Dal.DMA.E.1991.75.5,ett,,Unknown TM,ca. 630 BCE,-0700,-0600,#unspecified,Etruria,europe.italy.etruria,speaking inscription recording a gift,#instrumentum.jewelry,#metal.gold,#complete.intact,mi mulu Arathiale Thanaquilus Prasnaia,Arath gave me to Tanaquil Prasnai.,transcribed/TX.Dal.DMA.E.1991.75.5.xml
metadata_only,CA.Malibu.JPGM.E.82.AD.25,ett,,Unknown TM,500-600 CE,0500,0600,unspecified,Persia,asia.asia_minor,inscription on a bulla,#instrumentum.other,#clay,#complete.intact,Transcription goes here,,metadata_only/CA.Malibu.JPGM.E.82.AD.25.xml
metadata_only,MD.Balt.WAG.E.48.131,ett,,Unknown TM,fourth century BCE or later,-0400,-0100,unspecified,"Etruria, Italy",europe.italy.etruria,Vase in the shape of a bell,#instrumentum.vase,#clay,#complete.intact,,"""Thana, Tarchia, wife of Ventuni.""",metadata_only/MD.Balt.WAG.E.48.131.xml
metadata_only,MD.Balt.WAG.E.48.132,ett,,Unknown TM,third to first century BCE,-0300,0001,unspecified,Unknown,unknown,Vase in the shape of a bell,#instrumentum.vase,#clay,#complete.broken,,"""Thania Fesina.""",metadata_only/MD.Balt.WAG.E.48.132.xml
metadata_only,MD.Balt.WAG.E.54.85,ett,,Unknown TM,ca. 300 BCE,-0350,-0250,#archaeology,"Castel Giorgio, Italy",europe.italy.umbria,"Mirror with Heracles, Dionysus, Ariadne, and Eros",#instrumentum.other,#metal.bronze,#complete.broken,,"""Herkle, Vesuna, Fufluns, Svutaf(?).""",metadata_only/MD.Balt.WAG.E.54.85.xml
metadata_only,NY.NY.CU.Butl.E.255,ett,,Unknown TM,before 79 CE,-0100,0079,unspecified,Pompeii(?),europe.italy,Etruscan inscription on cantharos of bucchero nero,#instrumentum.container.other,#clay,#complete.intact,Transcription goes here,,metadata_only/NY.NY.CU.Butl.E.255.xml
metadata_only,NY.NY.MMA.E.03.24.9,ett,,Unknown TM,lath 4th-early 3rd c. BCE,-0350,-0250,unspecified,Found at Bolsena in an Etruscan tomb,europe.italy.bolsena,patera labeled: Suthina,#instrumentum.container.other,#metal.bronze,#complete.broken,Suthina,Suthina,metadata_only/NY.NY.MMA.E.03.24.9.xml
metadata_only,NY.NY.MMA.E.97.22.18,ett,,Unknown TM,4th-3rd c. BCE,-0400,-0200,#unspecified,Etruria,europe.italy.etruria,pin with obscure inscription,#instrumentum.other,#metal.bronze,#complete.intact,,,metadata_only/NY.NY.MMA.E.97.22.18.xml
metadata_only,PA.Phil.UP.UM.E.48-2-322,ett,,,330-30 BCE,-3301,-0029,#archaeology,"Italy, Etruria",https://pleiades.stoa.org/places/413122,sling bullet with Etruscan inscription,#instrumentum.other,#metal.lead,#complete.broken,Transcription goes here,,metadata_only/PA.Phil.UP.UM.E.48-2-322.xml
metadata_only,RI.Prov.RISD.MA.E.31.364,ett,,Unknown TM,Fourth century BCE,-0400,-0300,unspecified,Etruria(?),unknown,dedication to Lurs,#instrumentum.lamp,#metal.bronze,#complete.intact,,,metadata_only/RI.Prov.RISD.MA.E.31.364.xml
metadata_only,RI.Prov.RISD.MA.Raet.32.245,xrr,,Unknown TM,530-525 BCE,-0530,-0525,unspecified,,europe.italy,Bronze situla (pail) with figural decoration,#instrumentum.container.other,#metal.bronze,#complete.intact,,,metadata_only/RI.Prov.RISD.MA.Raet.32.245.xml
