fw_position,fw_key,herbig_col,herbig_line,jaccard,kind
44,92.44,III,15,0.222,exact
45,92.45,III,16,0.375,exact
46,92.46,III,17,0.300,exact
47,92.47,III,18,0.375,exact
49,92.49,III,20,0.444,exact
50,92.50,III,21,0.429,exact
51,92.51,III,22,0.875,exact
52,92.52,III,23,0.333,exact
56,92.56,IV,2,0.429,exact
57,92.57,IV,3,0.333,exact
58,92.58,IV,4,0.286,exact
59,92.59,IV,5,0.375,exact
60,92.60,IV,6,0.500,exact
62,92.62,IV,8,0.286,exact
63,92.63,IV,9,0.429,exact
64,92.64,IV,10,0.429,exact
71,92.71,IV,17,0.250,exact
72,92.72,IV,18,0.200,exact
74,92.74,IV,20,0.375,exact
108,93.108,VI,5,0.200,exact
110,93.110,VI,7,0.400,exact
111,93.111,VI,8,0.333,exact
112,93.112,VI,9,0.400,exact
113,93.113,VI,10,0.500,exact
115,93.115,VI,12,0.500,exact
118,93.118,VI,15,0.333,exact
119,93.119,VI,16,0.286,exact
120,93.120,VI,17,0.250,exact
125,93.125,VII,2,0.462,exact
126,93.126,VII,3,0.636,exact
127,93.127,VII,4,0.333,exact
128,93.128,VII,5,0.667,exact
129,93.129,VII,6,0.364,exact
131,93.131,VII,8,0.375,exact
132,93.132,VII,9,0.455,exact
133,93.133,VII,10,0.444,exact
134,93.134,VII,11,0.333,exact
136,93.136,VII,13,0.444,exact
137,93.137,VII,14,0.500,exact
138,93.138,VII,15,0.333,exact
139,93.139,VII,16,0.250,exact
141,93.141,VII,18,0.200,exact
142,93.142,VII,19,0.455,exact
180,94.180,IX,5,0.333,exact
181,94.181,IX,6,0.500,exact
182,94.182,IX,7,0.375,exact
183,94.183,IX,8,0.833,exact
184,94.184,IX,9,0.556,exact
185,94.185,IX,10,0.500,exact
187,94.187,IX,12,0.300,exact
188,94.188,IX,13,0.667,exact
189,94.189,IX,14,0.833,exact
190,94.190,IX,15,0.800,exact
191,94.191,IX,16,0.667,exact
192,94.192,IX,17,0.429,exact
193,94.193,IX,18,0.500,exact
194,94.194,IX,19,0.556,exact
195,94.195,IX,20,0.333,exact
196,94.196,IX,21,0.333,exact
197,94.197,IX,22,0.500,exact
203,94.203,X,2,0.222,exact
204,94.204,X,3,0.333,exact
205,94.205,X,4,0.571,exact
215,95.215,X,14,0.222,exact
220,95.220,X,19,0.273,exact
221,95.221,X,20,0.667,exact
223,95.223,X,22,0.333,exact
224,95.224,X,23,0.200,exact
234,95.234,XI,17,0.200,exact
44–75,92.901,II,10,0.250,interval-candidate
44–75,92.902,IV,14,0.400,interval-candidate
44–75,92.903,II,22,0.333,interval-candidate
44–75,92.904,IV,16,0.400,interval-candidate
108–142,93.902,V,2,0.625,interval-candidate
108–142,93.904,V,3,0.250,interval-candidate
108–142,93.905,V,4,0.375,interval-candidate
108–142,93.906,IV,16,0.444,interval-candidate
108–142,93.907,V,6,0.667,interval-candidate
108–142,93.908,V,7,0.300,interval-candidate
108–142,93.909,V,8,0.333,interval-candidate
108–142,93.910,V,9,0.286,interval-candidate
108–142,93.911,V,10,0.364,interval-candidate
108–142,93.912,II,14,0.333,interval-candidate
108–142,93.913,II,6,0.300,interval-candidate
108–142,93.914,V,6,0.667,interval-candidate
108–142,93.915,V,14,0.556,interval-candidate
108–142,93.916,V,15,0.286,interval-candidate
108–142,93.917,V,16,0.400,interval-candidate
108–142,93.920,V,19,0.429,interval-candidate
108–142,93.921,III,19,0.250,interval-candidate
108–142,93.922,V,21,0.500,interval-candidate
108–142,93.923,V,22,0.857,interval-candidate
108–142,93.924,V,23,0.333,interval-candidate
1–211,94.905,VII,22,0.500,interval-candidate
1–211,94.906,VII,21,0.250,interval-candidate
1–211,94.907,VII,22,0.571,interval-candidate
1–211,94.908,VIII,2,0.250,interval-candidate
1–211,94.909,VIII,10,0.250,interval-candidate
1–211,94.912,VIII,2,0.400,interval-candidate
1–211,94.913,VIII,3,0.333,interval-candidate
1–211,94.914,VIII,4,0.250,interval-candidate
1–211,94.915,VIII,5,0.429,interval-candidate
1–211,94.916,VIII,6,0.333,interval-candidate
1–211,94.917,VIII,7,0.250,interval-candidate
1–211,94.918,VIII,8,0.400,interval-candidate
1–211,94.919,VIII,9,0.500,interval-candidate
1–211,94.922,VIII,12,0.375,interval-candidate
1–211,94.923,VIII,13,0.250,interval-candidate
1–211,94.924,IX,3,0.250,interval-candidate
1–211,94.925,V,4,0.429,interval-candidate
1–211,94.933,VIII,14,0.333,interval-candidate
1–211,94.934,I,8,0.333,interval-candidate
1–211,94.936,V,4,0.500,interval-candidate
1–211,94.937,II,6,0.444,interval-candidate
211–242,95.901,XI,13,0.250,interval-candidate
211–242,95.905,IV,12,0.250,interval-candidate
211–242,95.911,XII,2,0.250,interval-candidate
211–242,95.912,XII,3,0.400,interval-candidate
211–242,95.913,XII,4,0.333,interval-candidate
211–242,95.914,XII,5,0.400,interval-candidate
211–242,95.918,XII,9,0.333,interval-candidate
211–242,95.919,XII,12,0.286,interval-candidate
211–242,95.920,XII,13,0.500,interval-candidate
211–242,95.922,II,6,0.714,interval-candidate
