section,positions,n_lines,opener_cal,theonyms,ritual_verbs,signature_vocab,manuscript_marks
0,1–50,9,(до первой точной даты),,nunthene,,
1,51–55,3,tiurim avils chis cisum pute tul thans,,,,
2,56–66,11,ethrse tinsi tiurim avils chis ecn zer,,hechsth rachth thezine,zusleves×2,
3,68–75,7,var celi sue hechsth vinm trin fler,,hechsth,fase×2,
4,80–111,5,ethrse tinsi tiurim avils chis hetrn,,,,
5,112–116,5,zathrumsne lusas fler thezeri,lusas,thezeri zathrumsne,thezeri×2,
6,117–130,11,eslem zafrumis acale tinsin sarve,,thluth trinth,ceia×5 hia×5 ciz×5 male×3,
7,131–148,15,vachr celi cilthcval svem cepen tutin,,cerene clevanth iri nvene,ceren×4 clevanth×2,
8,149–185,19,celi huthis zathrumis flerchva nethunsl,nethunsl,acilth hechsth nuzlchne rachth ramueth sucri,acilth×2 cilths×2,
9,186–232,45,tiurim avils chis cisum ute tul thans,nethunsl,nunthenth rachth sri suth,nunthenth×4 ipa×3 nacum×2 hinthu×2 ciem×2,красная линия писца (Herbig XI 13/14)
10,233–239,7,acale etnam,,truth,hanthin×2,
11,240–242,3,pethereni eslem zathrum mur veleinefi,,ciloth,,
